friend1,friend2
Alex334,Vera489
Valeria385,Adur493
Eneko858,Nikole419
Sofia905,Aimar926
Kattalin804,Izar231
Ilargi203,Anne389
Garazi411,Martina454
Mikel377,Ekain72
Adrián177,Sofia905
Nora582,Alejandro275
Mara662,Mateo247
Thiago995,Martina726
Danel808,Elaia468
Eki960,Unai650
Mario451,Libe461
Jare108,Unax626
Julia440,Elaia468
Jule461,Gabriela839
Chloe985,Thiago157
Liher153,Eneko975
Mikel660,Eneko627
Mario451,Unax899
Chloe985,Luka862
Unai592,Arhane766
Leire801,Kattalin804
Alejandro558,Vera489
Manex135,Thiago110
Lander90,Xare691
Chloe985,Vega502
Marcos588,Xare691
June896,Inar985
Lur17,Aitana761
Jule461,Danel808
Anne439,Alex334
Mikel377,Sare152
Eneko295,Manex57
Nerea432,Libe379
Alvaro231,Sara0
Nora986,Alejandro692
Leize83,Vega502
Jare108,Sofia48
Alejandro558,Hugo98
Daniel494,Laida296
Valentina401,Samuel594
Hugo922,Nora840
Xare691,Maddi135
Amets627,Nora986
Nora986,Ainhoa919
Carla533,Julia440
Samuel594,Vega447
Jon394,Inar985
Anne389,Laida790
Libe461,Maddi135
Arhane19,Leize83
Iria263,Nora550
Eder956,Arhane766
Imran423,Alejandro692
Inar433,Izar231
Alain277,Manex57
Jare108,Libe379
Sofia905,Carla515
Aitor324,Lur17
Nerea432,Mara662
Carla533,Eder963
Eneko975,Laida790
Ilargi203,Valentina401
Mikel660,Samuel594
Imran423,Alain277
Peio64,Sare152
Liher153,Alain116
Thiago253,Ariane194
Garazi411,Manex57
Nora550,Leize199
Aimar926,Enzo979
Mariam39,Naroa178
Santiago167,Inar985
Unax899,Laida597
Thiago552,Peio64
Imran423,Eder280
Thiago157,Iria263
Nikole861,Izar231
Andrea292,Anne389
Eneko975,Aitana761
Anne439,Arhane19
Mohamed938,Inar433
Nikole861,Paul641
Aimar926,Miren719
Iria263,Laida790
Aimar875,Jare108
Sofia905,Eneko627
Jule461,Inar433
Leire801,Miren719
Manex969,Enzo979
Mikel660,Nikole419
Ilargi203,Vega447
Andrea292,Jon394
Nikole419,Elaia468
Aimar926,Elene17
Hugo922,Vega447
Bruno164,Hugo922
Peio7,Aimar926
Manex135,Laida790
Nikole419,Eder963
Maddi135,Vega502
Irene195,Laida621
Nikole861,Thiago110
Chloe985,Valentina401
Hugo931,Alex334
Valentina401,Hugo98
Jule461,Alain277
Julia440,Arhane766
Sofia905,Eneko654
Imran423,Jule461
Aitor125,Nora550
Peio64,Thiago110
Nora986,Inar259
Amets627,Unai592
Aimar875,Inar259
Thiago110,Lucía194
Laida597,Vera489
Carla533,Inar985
Ariane194,Eneko295
Peio7,Izar231
Adrián177,Peio64
Aimar926,Naroa178
Garazi411,Laida296
Sofia905,Nahia136
Mara662,Garazi411
Peio7,Lorea462
Sare152,Arhane19
David613,Anne389
Mara662,Miren719
Maddi135,Jon394
Aitor125,Ainhoa919
Vega908,Nikole861
Nahia136,Ekain72
Mohamed938,Manex969
Mario451,Santiago167
Mikel377,Unai496
Irene195,Fatima741
Alvaro231,Lander90
Valeria385,Nora840
Liher153,Inar985
Alvaro484,Garazi411
Sara0,June896
Naroa178,Lorea462
Mikel377,Alex46
Unax899,Eder963
Elene17,Martina454
Alejandro692,Xare691
Lara974,Eneko295
Nikole861,Libe461
Einar260,Vega502
Vega640,Chloe985
Nora492,Alain116
Unai496,Enzo979
Gael613,Hugo98
Valentina401,Samuel571
Imran423,Manex57
Vega908,Lucía194
Nikole861,Thiago552
Iria263,Gabriela839
Oihan29,Maia798
Daniel494,Manex57
Eneko858,Sofia48
Bruno164,Manex57
Irene195,Nahia136
Arhane646,Mateo247
Julia440,Vega502
Ander87,Luka862
Unai592,Asier281
Thiago552,Manex969
Vega447,Samuel571
Alvaro231,Asier281
Inar259,Manex135
Bruno164,Alex334
Vega640,Alejandro558
Unax899,Mikel660
Arhane766,Eki960
Amir106,Alvaro231
Iria263,Danel808
Nikole861,Peio64
Peio7,Unai650
Alvaro484,Enzo979
Mikel377,Peio7
Aimar926,Garazi411
Nikole861,Amaia875
Gael613,Asier281
Alvaro484,Eneko627
Sara0,Mario890
Peio7,Enzo979
Unax899,Oihan29
Julia440,Eneko858
Iria263,Aitana761
Nahia136,Marcos863
Aitor125,Hugo931
Leire801,Carla515
Hugo931,Alejandro692
Irene195,Hugo98
Asier281,Sofia48
Maddi135,Samuel571
Manex57,Fatima741
Carla533,Anne389
Alex334,Samuel594
Mateo247,Vega447
Thiago552,Arhane19
Iria263,Luka862
Alaia431,Ander87
Ekain72,Unai496
Lander90,Vega502
Thiago995,Lucía194
Asier281,Samuel594
Mario890,Eneko858
Laida621,Liher153
Laida621,Aitana761
Alvaro231,Gabriela839
Aimar926,Leire641
Enzo979,Thiago995
Inar433,Sara0
Enzo979,Kattalin804
Alain277,Lara974
Vera489,Eder963
Ainhoa919,Laida296
Jare108,Nora550
Sara0,Gabriela839
Mario890,Thiago253
Asier281,Libe379
Mario451,Amaia875
Vera489,Sare152
Ekain72,Leize83
Alvaro484,Aimar875
Lander90,Marcos863
Aimar875,Ariane194
Jule461,Elene17
Eder956,Vera489
Manex57,Maia798
Mario451,Anne389
Nora492,Unai650
Alvaro484,Mateo247
Valentina401,Garazi411
Santiago167,Vega447
Maddi135,Izan704
Laida621,Nora550
Vega908,Ekain72
Alejandro558,Anne389
Amir106,Thiago110
Maddi135,Lorea462
Nerea432,Elaia468
Ander87,Libe379
Mario451,Eneko858
Mario890,Arhane766
Alain116,Nora840
Chloe985,Santiago167
Xare691,Einar260
Hugo98,Laida296
Aimar926,Eneko627
Arhane646,Eneko627
Inar433,Leize199
Nikole861,Izan704
Andrea292,Eder280
Jare108,Alejandro275
Arhane766,June896
Valeria385,Daniel494
Nikole861,Peio7
Marcos588,Eder963
Aimar926,Eder963
Hugo931,Mara662
Adrián177,Eder956
Nikole861,Kattalin804
Peio64,Thiago995
Sara0,Danel808
Inar259,Manex57
Arhane766,Samuel594
Manex135,Eder280
Imran423,Samuel618
Hugo922,Garazi411
Unai650,Liher153
Alejandro275,Fatima741
Mikel377,Thiago552
Hugo98,Manex57
Mario451,Kattalin804
Carla533,Nikole419
Arhane646,Eder963
Inar433,Alejandro275
Ander87,Samuel594
Lander90,Nora840
Libe461,Laida296
Anne389,June896
Alain277,Martina454
Marcos863,Thiago995
Eder280,Samuel618
June896,Oihan29
Valeria385,Luken592
Gael613,Nora550
Manex969,Thiago110
Nora582,Nora492
Manex969,Leire641
Ibon365,Sara0
Jon394,Martina726
Valeria385,Gabriela839
Mario890,Kattalin804
Imran423,Adur493
Thiago253,Martina726
Lander90,Unax626
Mikel377,Peio64
Fatima741,Martina454
Inar259,Laida296
Alain277,Aitana761
Amaia875,June896
Vega640,Laida790
Valentina401,Leize83
Arhane646,Enzo979
Imran423,Martina454
Gael613,Thiago157
Santiago167,Manex57
Anne439,Ibon365
Mateo247,Oihan29
Mikel660,Eki960
Alejandro558,Ilargi203
Hugo98,Oihan29
Alejandro692,Libe379
Nahia136,Alvaro231
Valeria385,Danel808
Alejandro692,Sofia48
Alvaro231,Laida621
Nora550,Kattalin804
Amaia875,Mario890
Oihan29,Laida790
Libe461,Aimar875
Maddi135,Kattalin804
Ainhoa919,Manex57
Alvaro231,Iria263
Aitor125,Xare691
Alejandro558,Ekain72
Carla533,Unai592
Aitor125,Samuel571
Julia440,Nora840
Hugo922,Daniel494
Imran423,Elene17
Alaia431,Samuel571
Hugo922,Valentina401
Gael613,Amaia875
Bruno164,Aitor125
Vega640,Oihan29
Gabriela839,Danel808
Imran423,Manex135
Mariam39,Laida621
Peio64,Izar231
Laida597,Julia440
Eneko295,Martina454
Samuel594,Eneko858
Nahia136,Luken592
Oihan29,Danel808
Nikole861,Thiago995
Aimar926,Nerea432
Sare152,Enzo979
Alaia431,Xare691
Sofia905,Carla533
Julia440,Marcos863
Peio64,Unai496
Hugo931,Valentina401
Thiago552,Unai496
Enzo979,Elaia468
Vega908,Enzo979
Valeria385,June896
Laida621,Luka862
Unax899,Thiago253
Bruno164,Ander87
Nikole861,Eki960
Mikel660,Nora986
Anne389,Nora550
Anne439,Alain116
Lara974,Libe379
Jule461,Luken592
Ariane194,Thiago995
Thiago110,Izar231
Bruno164,Ekain72
Inar433,Marcos863
Eder956,Alex334
Arhane766,Santiago167
Alejandro558,Julia440
Mariam39,Luka862
Lander90,Luka862
Unai592,Carla515
Alaia431,Nora986
Alejandro275,Izan704
Inar433,Laida597
Hugo98,Eneko975
David613,Izan704
Ibon365,Alex334
Arhane766,Maddi135
Sofia905,Liher153
Nerea432,Laida597
Imran423,Gabriela839
Iria263,Elene17
Eder956,Asier281
Aitor324,Samuel618
Oihan29,Manex57
Leire801,Eki960
Einar260,Eneko858
Valeria385,Eder280
Gabriela839,Izar231
Nora582,Paul641
Peio7,Carla533
Nerea432,Nora840
Alejandro275,Eneko627
Lara974,Laida790
Liher153,Leize199
Adur493,Vega502
Nora840,Danel808
Iria263,Fatima741
Unax899,Ainhoa919
Ilargi203,Samuel571
Adur493,Manex57
Nora986,Nora840
Imran423,Danel808
Unax899,Amaia875
Santiago167,Leize199
Amets627,Nikole419
Jare108,Valentina401
Jule461,Marcos863
Valeria385,Alejandro692
Ainhoa919,Laida597
Mario451,Unax626
Alex46,Danel808
Paul641,Nora550
Nahia136,Laida296
Ilargi203,Iria263
Aitor324,Manex57
Lander90,Vega447
Aitor324,Gabriela839
Ainhoa919,Valeria385
Aitana761,Leize199
Sara0,Maia798
Amets627,Samuel571
Nahia136,June896
Nora492,Einar260
Adrián177,Nikole419
Ainhoa919,Marcos863
Mateo247,Unax626
Garazi411,Manex135
Sara0,Naroa178
Jule461,Ariane194
Laida621,Samuel571
Anne439,Marcos588
Gael613,Samuel594
Vega908,Manex969
Kattalin804,Laida790
Garazi411,Unax626
Valentina401,Miren719
Aitor324,Arhane766
Manex135,Luka862
Aitor125,Nora840
Vera489,Vega447
Inar259,Sofia48
Laida597,Alain116
Marcos863,Alain116
Nikole419,Lorea462
Unax899,Sare152
Nora986,Valentina401
Aitor125,Carla515
Arhane646,Naroa178
Ariane194,Danel808
Irene195,Luken592
Hugo922,Fatima741
Unax626,Luka862
Adrián177,Garazi411
Vega908,Nora492
Andrea292,Alain116
Nora986,Anne389
Marcos863,Sare152
Unai496,Santiago167
Leire801,Mikel660
Irene195,Eneko295
Adrián177,Leire641
Amets627,Julia440
Thiago157,Inar985
Eneko654,Inar259
Alejandro558,Unax626
Daniel494,Vega447
Naroa178,Laida296
Lucía194,Martina726
Laida621,Gabriela839
Iria263,Nora840
Chloe985,Laida597
Nikole861,Lur17
Nerea432,Vega502
Unax899,Alain116
Sara0,Hugo98
Anne439,Amaia875
Alvaro484,Einar260
Jule461,Alaia431
Nora582,Mara662
Sofia48,Vega502
Eneko654,Nerea432
Aitor324,Izar231
Chloe985,Marcos863
June896,Eneko975
Carla533,Alain116
Thiago157,Unax626
Thiago157,Daniel494
Ilargi203,Eneko975
Nikole861,Laida597
Manex969,Lorea462
Ilargi203,Arhane646
Alex46,Thiago995
Mateo247,Kattalin804
Aitana761,Leize83
Eder956,Nerea432
Amir106,Laida621
Inar433,Eneko627
Libe379,Kattalin804
Mikel660,Martina726
Unai496,Eneko627
Mikel377,Sofia905
Libe379,Laida790
Anne439,Samuel618
Valeria385,Valentina401
Alejandro558,Ibon365
Bruno164,Eder280
Ander87,Eneko858
Nerea432,Leize199
Alvaro231,Vega447
Xare691,Elene17
Liher153,Laida790
Nahia136,Manex135
Thiago157,Lander90
Gael613,Unax626
Alaia431,Mariam39
David613,Unai650
Laida597,Alejandro692
Hugo922,Ibon365
Vera489,Alain116
Amir106,Eneko654
Unax899,Nora582
Ainhoa919,Aitana761
Asier281,Manex135
Eneko654,Adur493
Alex46,Arhane646
Inar259,Laida790
Maddi135,Nora550
Enzo979,Eneko627
Leire801,Jon394
Amaia875,Vera489
Aitor324,Vega502
Miren719,Vega502
Unax899,Lara974
Laida597,Santiago167
June896,Vega502
Eki960,Lorea462
Martina454,Eder280
Amets627,Manex135
David613,Lucía194
Nerea432,Valentina401
Eneko654,Arhane19
Adrián177,Thiago110
Laida621,Arhane19
Vera489,Oihan29
Anne439,Imran423
Bruno164,Oihan29
Asier281,Nikole419
Eneko295,Lur17
Alvaro231,Aimar926
Aimar875,Izan704
Amets627,David613
Amaia875,Libe379
Peio64,Arhane19
Laida621,Danel808
Alejandro275,Lucía194
Leire801,Izar231
Samuel594,Izan704
Leire801,Eneko627
Peio64,Martina726
Mateo247,Lara974
Anne389,Nerea432
Alain277,Sara0
Eder956,Aimar926
Nora582,Vera489
Thiago157,Julia440
Unai650,Lur17
Inar433,Thiago253
Aitana761,Martina454
Valeria385,Nikole419
Nerea432,Xare691
Mikel660,Miren719
Alejandro692,Arhane646
Mohamed938,Miren719
Amets627,Ander87
Ainhoa919,Lara974
Nerea432,Eki960
Mohamed938,Oihan29
Valeria385,Unai592
Alaia431,Alex46
Alejandro692,Eneko975
Mario890,Unai496
Luken592,Marcos863
Alejandro275,Leize83
Nahia136,Thiago110
Adur493,Iria263
Leire801,Arhane766
Naroa178,Martina726
Alvaro231,Inar259
Leire641,Paul641
Mario451,Gael613
Adrián177,Jon394
Alvaro231,Elaia468
Peio7,Nora550
Unai592,Jare108
Einar260,Unax626
Ariane194,Izan704
Amaia875,Paul641
Nikole861,Eneko627
Thiago157,Elene17
Luken592,Vega502
Alex334,Nikole419
Gael613,Xare691
David613,Leize83
Libe461,Unai650
Eki960,Eder280
Laida597,Sofia48
Marcos588,Carla515
Aimar875,Miren719
Alejandro558,Mariam39
Ibon365,Unai496
Mariam39,Garazi411
Sare152,Ariane194
Irene195,Ekain72
Adrián177,Alvaro231
Thiago253,Alejandro275
Leire801,Ander87
Anne389,Libe379
Sofia905,Thiago110
Unai592,Oihan29
Unai592,Nora550
Eneko654,Maddi135
Manex57,Vega502
Alex334,Mario890
Bruno164,Vega502
Mara662,Eneko975
Nahia136,Aitana761
Chloe985,Liher153
Santiago167,Eder963
Alain277,Eneko858
Eneko654,Fatima741
Carla533,Arhane646
Paul641,Elaia468
Nahia136,Adur493
Anne389,Einar260
Unai592,Izan704
Elene17,Vega502
Sofia905,Martina726
Daniel494,Elaia468
Alejandro692,Martina454
Hugo922,Adur493
Ainhoa919,Libe379
Nora986,Daniel494
Manex969,Manex135
Ibon365,Eder963
Sara0,Martina454
Imran423,Vega447
Thiago157,Samuel571
Adrián177,Maia798
Eneko858,Lucía194
Sara0,Arhane19
Bruno164,Marcos863
Leize199,Luka862
Laida790,Elaia468
Alex46,Jare108
Unax899,Jare108
Eder956,Manex135
Sara0,Samuel571
Oihan29,Alain116
Peio7,Izan704
Alejandro692,Nora550
Gabriela839,Aitana761
Nora582,Ekain72
Alex46,Marcos863
Hugo931,Manex57
Alex46,Laida597
Valentina401,Gabriela839
Mario890,Inar985
Aitor125,Amets627
Alain277,Vega447
Nerea432,Izar231
Adur493,Laida296
Valeria385,Ariane194
Danel808,Samuel618
Adrián177,Thiago552
Manex135,Eneko858
Andrea292,Manex135
Ander87,Unax626
Carla533,Martina726
Miren719,Oihan29
Sofia905,Unai592
Nora550,Eder280
Eder956,Sofia48
Aimar875,Lucía194
Santiago167,Luka862
Adur493,Arhane766
Unax899,Chloe985
Mariam39,Thiago110
Hugo931,Mariam39
Maia798,Samuel571
Arhane766,Laida790
Alvaro484,Nikole419
Mikel377,Aitana761
Amir106,Peio7
Alex334,Laida296
David613,Miren719
Alvaro231,Thiago552
Alejandro692,Eki960
Nora582,Arhane19
Bruno164,Eki960
Andrea292,Nikole419
Ibon365,Jare108
Sara0,Samuel594
Alejandro558,Alex46
Alex46,Thiago552
Hugo922,Mariam39
David613,Eder963
Valentina401,Samuel618
Imran423,Samuel571
Alex334,Luka862
Iria263,Samuel594
Ibon365,Lander90
Ander87,Unai592
Mara662,June896
Sofia905,Arhane766
Alvaro231,Fatima741
Anne439,Samuel571
Sare152,Lorea462
Xare691,Miren719
Aimar926,Fatima741
Sara0,Thiago110
Hugo931,Laida296
Asier281,Luka862
Sofia905,Amaia875
Elene17,Gabriela839
Mohamed938,Fatima741
Chloe985,Daniel494
Nerea432,Nora492
Eder956,Julia440
Luken592,Eneko627
Julia440,Xare691
Aimar926,Inar259
Bruno164,Carla533
Mikel377,Mohamed938
Laida597,Manex135
Hugo922,Laida296
Nahia136,Inar433
Vega640,Nikole419
Anne389,Santiago167
June896,Alain116
Laida296,Leize199
Thiago157,Asier281
Gabriela839,Samuel618
Mikel660,Vega640
Alejandro275,Eder963
Garazi411,Samuel618
Vega640,Laida621
Irene195,Lorea462
Valentina401,Einar260
Leire801,Lara974
Laida621,Einar260
Einar260,Vega447
Carla533,Laida790
Alex46,Martina454
Unai592,Nora492
Amets627,Nora840
Leize83,Manex57
Ariane194,Leize83
Elene17,Luka862
Unax899,Aitor125
Bruno164,Lara974
Alvaro484,Nikole861
Laida597,Ariane194
Unax899,Anne389
Gael613,Nora986
Chloe985,June896
Lander90,Libe379
Libe461,Miren719
Naroa178,Vega447
Asier281,Liher153
Inar433,Vega502
Eder956,Arhane646
Alvaro231,Libe461
Eder963,Samuel571
Peio7,Mara662
Ariane194,Elaia468
Mario451,Leire801
Nora582,Eneko627
Thiago253,Manex135
Vega908,Manex135
Ibon365,Nora840
Hugo922,Izar231
Mikel660,Manex135
Jule461,Lorea462
Alvaro231,Alex46
Sare152,Alejandro275
Vega908,Alex46
Alex334,Liher153
Alejandro692,Hugo98
Inar985,Elaia468
Vega908,Ariane194
Amets627,Carla515
Aitor324,Martina454
Nerea432,Samuel594
Marcos863,Martina726
Carla533,Mateo247
Sofia48,Elaia468
Jare108,Nora492
Libe461,Eki960
Peio7,Leire641
Ander87,Nora840
Mikel377,Sara0
Nahia136,Unai650
Peio64,Aimar875
Asier281,Manex57
Marcos863,Adur493
Peio64,David613
Asier281,Miren719
Alejandro692,Manex57
Mara662,Maddi135
Hugo931,Izar231
Carla515,Laida790
Eder956,Laida790
Amets627,Valentina401
Nikole861,Luka862
Alex46,Maia798
Unax899,Nerea432
Unai496,Libe379
Daniel494,Libe379
Lander90,Jon394
Lucía194,Maia798
Unai592,Izar231
Gael613,Nerea432
Thiago552,Paul641
Imran423,Alejandro558
Mario451,Inar985
Thiago157,Adur493
Manex969,Laida296
Xare691,Oihan29
Aimar875,Gabriela839
Mario451,Alain116
Amir106,Eneko295
Sara0,Samuel618
Eneko295,Nora840
Mario451,Bruno164
Mario451,Manex57
Ainhoa919,Vega502
Marcos588,Jon394
Unax899,Leize199
Irene195,Mohamed938
Amaia875,Santiago167
Anne439,Einar260
Samuel594,Manex57
Maia798,Nora840
Mikel660,David613
Mikel660,Alejandro275
Alain277,Laida621
Leire641,Unai496
Alejandro275,Thiago110
Alain277,Valentina401
Jule461,Mohamed938
Luken592,Arhane19
Amets627,Einar260
Gael613,Unai592
Vega640,Alejandro692
Imran423,Santiago167
Vera489,Unax626
Jule461,Daniel494
Ekain72,Lorea462
Luka862,Eder280
Ander87,Santiago167
Libe461,June896
Paul641,Thiago110
Asier281,Mara662
Vera489,Arhane766
Eki960,Enzo979
Anne439,Aitor125
Alex46,Leize83
Maia798,Unax626
Samuel571,Luka862
Gael613,Ainhoa919
Gabriela839,Samuel571
Alex46,Sare152
Eder956,David613
Nikole861,Elaia468
Vera489,Leize199
Unax899,Thiago995
Lander90,Lara974
Alvaro484,Maddi135
Leire641,Martina726
Alejandro692,Liher153
Valentina401,Martina454
Nerea432,Izan704
Libe379,Inar985
Alex334,Mara662
Ainhoa919,Xare691
Alex46,Thiago253
Inar259,Unax626
Mikel377,Mario890
Vega908,Alejandro275
Alex334,Miren719
Alejandro558,Samuel618
Thiago157,Unai592
Inar985,Eder963
Maddi135,Libe379
Eder956,Samuel571
Irene195,Xare691
Eneko975,Nora550
Arhane646,Eki960
Anne439,Alaia431
Peio64,Paul641
Bruno164,Mario890
Jule461,Xare691
Mikel660,Unai650
Alex46,Leize199
Hugo931,Eder963
Lander90,Sara0
Marcos588,Jare108
Hugo98,Luka862
Ainhoa919,Adur493
Alvaro231,Arhane766
Anne389,Nora492
Hugo922,Alex334
Thiago552,Aimar875
Santiago167,Eneko295
Gael613,Chloe985
Anne439,Valentina401
Chloe985,Unai592
Hugo98,Vega502
Inar259,Nora840
Sara0,Miren719
Mohamed938,Unai496
Vega447,Martina454
Eder956,Hugo931
Hugo922,Asier281
Adrián177,Kattalin804
Valentina401,Eneko295
Nikole861,Andrea292
Samuel594,Leize199
Arhane646,Thiago110
Aitor125,Eder280
Amaia875,Aimar926
Oihan29,Martina454
Ilargi203,Eder280
Alejandro692,Ekain72
Fatima741,Vega502
Elene17,Liher153
Adrián177,Chloe985
Aitor125,Anne389
Ander87,Oihan29
Mateo247,Jon394
Sare152,Unax626
Jon394,Eder280
Irene195,Lara974
Bruno164,Andrea292
Mario890,Eneko975
Alvaro484,Jare108
Amir106,Enzo979
Leire801,Iria263
Adrián177,Sare152
Mara662,Eder280
Ilargi203,Manex135
Eder956,Nikole861
Mario451,Ainhoa919
Alex46,Valeria385
Ekain72,Fatima741
Elene17,Leize83
Jule461,Lara974
Mariam39,Eneko295
Irene195,Einar260
Nora986,Manex57
Thiago157,Hugo98
Xare691,Samuel594
Hugo922,Aitor324
Hugo931,Ibon365
Sofia905,Lara974
Nora582,Nora550
